UserId;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;Education;Occupation;HouseOwnerFlag;TotalChildren;NumberChildrenAtHome;NumberCarsOwned;DateFirstPurchase;CommuteDistance
willie40;Willie;Raji;1960-10-02;M;M;80000,00;High School;Skilled Manual;1;2;0;2;2011-04-28;5-10 Miles
linda31;Linda;Serrano;1960-12-23;S;F;80000,00;High School;Skilled Manual;1;2;0;2;2013-03-01;5-10 Miles
casey6;Casey;Luo;1960-08-05;S;F;80000,00;High School;Skilled Manual;0;2;0;2;2011-03-31;1-2 Miles
amy16;Amy;Ye;1962-02-11;S;F;70000,00;High School;Skilled Manual;1;2;0;2;2013-03-23;5-10 Miles
levi6;Levi;Arun;1962-02-25;S;M;70000,00;High School;Skilled Manual;1;2;0;2;2013-03-23;5-10 Miles
felicia4;Felicia;Jimenez;1963-05-16;S;F;80000,00;High School;Professional;1;2;0;2;2011-04-28;5-10 Miles
blake9;Blake;Anderson;1963-01-10;S;M;80000,00;High School;Professional;1;2;0;2;2011-04-21;5-10 Miles
leah7;Leah;Ye;1963-03-19;S;F;80000,00;High School;Professional;0;2;0;2;2011-04-15;1-2 Miles
gina1;Gina;Martin;1985-01-06;S;F;40000,00;High School;Professional;0;0;0;2;2013-02-15;1-2 Miles
donald20;Donald;Gonzalez;1970-03-07;S;M;160000,00;Graduate Degree;Management;1;0;0;2;2013-03-15;0-1 Miles
damien32;Damien;Chander;1965-01-13;M;M;170000,00;Graduate Degree;Management;1;0;0;2;2011-04-10;0-1 Miles
savannah39;Savannah;Baker;1972-01-21;M;F;120000,00;Bachelors;Management;1;2;2;3;2013-02-12;2-5 Miles
angela17;Angela;Butler;1972-02-01;S;F;130000,00;Graduate Degree;Management;0;0;1;3;2013-01-22;1-2 Miles
alyssa37;Alyssa;Cox;1977-03-11;M;F;130000,00;Graduate Degree;Management;1;0;1;3;2013-01-06;1-2 Miles
lucas7;Lucas;Phillips;1963-03-12;S;M;80000,00;Partial High School;Skilled Manual;0;2;0;2;2013-01-04;1-2 Miles
emily1;Emily;Johnson;1963-01-16;S;F;60000,00;High School;Professional;0;2;0;2;2013-12-06;5-10 Miles
ryan43;Ryan;Brown;1963-06-22;M;M;70000,00;Partial College;Professional;1;2;1;0;2013-07-02;0-1 Miles
tamara6;Tamara;Liang;1963-04-02;M;F;70000,00;Partial College;Professional;0;3;2;0;2013-02-25;0-1 Miles
hunter64;Hunter;Davis;1963-05-25;M;M;80000,00;Bachelors;Management;1;2;1;0;2013-01-13;2-5 Miles
abigail25;Abigail;Price;1962-08-05;S;F;80000,00;Bachelors;Management;1;2;1;1;2012-12-29;2-5 Miles
trevor18;Trevor;Bryant;1968-12-13;S;M;90000,00;Partial College;Professional;1;2;0;1;2011-08-07;2-5 Miles
dalton37;Dalton;Perez;1962-10-02;M;M;90000,00;Partial College;Professional;1;2;0;1;2013-01-29;5-10 Miles
cheryl4;Cheryl;Diaz;1972-11-02;M;F;90000,00;Bachelors;Professional;1;2;2;0;2011-04-08;1-2 Miles
aimee13;Aimee;He;1978-09-06;M;F;100000,00;Graduate Degree;Management;1;0;0;0;2011-04-07;0-1 Miles
cedric15;Cedric;Ma;1967-09-29;S;M;70000,00;Partial College;Skilled Manual;0;1;0;1;2013-04-07;0-1 Miles
chad9;Chad;Kumar;1968-02-29;S;M;70000,00;Partial College;Skilled Manual;1;1;0;1;2011-04-01;5-10 Miles
andrés18;Andrés;Anand;1968-02-07;M;M;60000,00;Bachelors;Professional;1;1;0;1;2011-04-11;5-10 Miles
edwin39;Edwin;Nara;1972-10-23;M;M;60000,00;Partial College;Skilled Manual;1;1;0;1;2011-04-04;5-10 Miles
mallory7;Mallory;Rubio;1966-10-29;S;F;60000,00;Partial College;Skilled Manual;0;1;0;1;2013-02-11;0-1 Miles
adam2;Adam;Ross;1966-09-05;M;M;60000,00;Bachelors;Professional;1;1;0;1;2011-04-07;0-1 Miles
latasha10;Latasha;Navarro;1966-03-15;S;F;60000,00;Partial College;Skilled Manual;1;1;0;1;2011-04-16;5-10 Miles
abby4;Abby;Sai;1970-11-05;S;F;70000,00;Bachelors;Professional;0;0;0;1;2011-04-29;0-1 Miles
julia7;Julia;Nelson;1970-10-19;S;F;80000,00;Bachelors;Professional;1;5;5;4;2013-07-16;1-2 Miles
cassie13;Cassie;Chande;1981-04-12;S;F;70000,00;Bachelors;Professional;1;0;0;1;2011-04-15;5-10 Miles
edgar11;Edgar;Sara;1975-03-08;M;M;70000,00;Bachelors;Professional;0;0;0;1;2011-05-04;0-1 Miles
candace15;Candace;Fernandez;1970-06-27;S;F;70000,00;Bachelors;Professional;0;0;0;1;2011-05-14;5-10 Miles
jessie9;Jessie;Liu;1970-03-11;S;M;70000,00;Bachelors;Professional;0;0;0;1;2011-05-18;5-10 Miles
bianca7;Bianca;Lin;1976-03-04;M;F;90000,00;Bachelors;Professional;1;1;0;1;2011-05-01;5-10 Miles
kari25;Kari;Alvarez;1969-01-10;S;F;70000,00;Bachelors;Professional;0;0;0;2;2011-05-03;0-1 Miles
ruben1;Ruben;Kapoor;1980-04-30;S;M;70000,00;Bachelors;Professional;0;0;0;2;2011-05-10;0-1 Miles
curtis5;Curtis;Yang;1967-12-04;M;M;60000,00;Partial College;Skilled Manual;1;1;0;1;2011-05-01;5-10 Miles
meredith34;Meredith;Gutierrez;1967-08-23;M;F;60000,00;Partial College;Skilled Manual;1;1;0;1;2011-05-20;0-1 Miles
crystal3;Crystal;Wang;1968-03-08;M;F;60000,00;Partial College;Skilled Manual;1;1;0;1;2011-05-25;0-1 Miles
micheal11;Micheal;Blanco;1973-02-17;M;M;70000,00;Bachelors;Professional;1;5;4;2;2013-02-01;5-10 Miles
leslie7;Leslie;Moreno;1967-11-25;S;F;70000,00;Partial College;Skilled Manual;1;5;4;2;2013-03-18;5-10 Miles
alvin20;Alvin;Cai;1967-08-12;M;M;70000,00;Partial College;Skilled Manual;1;5;4;2;2013-02-10;0-1 Miles
clinton14;Clinton;Carlson;1979-04-02;M;M;70000,00;Partial College;Skilled Manual;1;5;4;2;2013-03-15;5-10 Miles
april1;April;Deng;1966-08-21;M;F;70000,00;Partial College;Skilled Manual;1;5;4;3;2011-05-06;10+ Miles
alvin21;Alvin;Zeng;1962-12-31;S;M;80000,00;Partial College;Skilled Manual;0;1;0;1;2013-07-10;0-1 Miles
evan8;Evan;James;1940-10-07;S;M;30000,00;Partial College;Clerical;0;2;0;2;2013-02-03;0-1 Miles
beth8;Beth;Jiménez;1942-02-06;S;F;40000,00;Bachelors;Management;1;2;0;1;2011-05-14;5-10 Miles
orlando19;Orlando;Suarez;1966-05-18;M;M;70000,00;Partial College;Skilled Manual;1;5;4;3;2013-06-24;10+ Miles
byron9;Byron;Vazquez;1965-09-30;M;M;70000,00;Partial College;Skilled Manual;1;5;4;3;2013-02-21;5-10 Miles
philip4;Philip;Alvarez;1965-12-18;M;M;70000,00;Partial College;Skilled Manual;1;5;4;3;2013-04-17;10+ Miles
ross1;Ross;Jordan;1968-07-23;S;M;80000,00;Partial College;Skilled Manual;1;1;0;1;2011-05-05;5-10 Miles
dana2;Dana;Navarro;1961-10-06;S;F;70000,00;Partial College;Skilled Manual;1;1;0;1;2013-01-31;5-10 Miles
shaun16;Shaun;Carson;1954-10-05;M;M;10000,00;High School;Skilled Manual;0;2;1;2;2011-05-28;0-1 Miles
jan11;Jan;Edwards;1981-04-19;M;F;40000,00;High School;Skilled Manual;1;0;0;1;2013-04-10;5-10 Miles
samantha35;Samantha;Long;1981-06-03;M;F;40000,00;High School;Skilled Manual;1;0;0;1;2013-06-19;5-10 Miles
julia17;Julia;Wright;1981-02-01;S;F;40000,00;High School;Skilled Manual;1;0;0;1;2011-08-06;5-10 Miles
caroline21;Caroline;Russell;1985-07-05;M;F;30000,00;High School;Skilled Manual;1;0;0;2;2013-12-09;5-10 Miles
amanda7;Amanda;Rivera;1985-09-09;M;F;30000,00;High School;Skilled Manual;0;0;0;2;2013-10-18;0-1 Miles
melissa31;Melissa;Richardson;1986-04-25;S;F;30000,00;High School;Skilled Manual;0;0;0;2;2013-04-09;5-10 Miles
angela23;Angela;Griffin;1986-03-08;S;F;30000,00;Partial High School;Clerical;0;0;0;2;2013-12-30;0-1 Miles
larry14;Larry;Townsend;1957-02-22;S;M;10000,00;High School;Skilled Manual;1;5;0;2;2011-05-03;5-10 Miles
marcus14;Marcus;Harris;1985-05-02;S;M;30000,00;Partial High School;Clerical;0;0;0;2;2013-04-18;5-10 Miles
brianna30;Brianna;Morgan;1984-04-24;S;F;40000,00;High School;Skilled Manual;0;0;0;2;2013-01-03;0-1 Miles
jasmine7;Jasmine;Taylor;1984-01-17;M;F;40000,00;High School;Skilled Manual;1;0;0;2;2013-07-31;5-10 Miles
lauren23;Lauren;Davis;1984-03-14;M;F;40000,00;High School;Skilled Manual;0;0;0;2;2013-09-19;0-1 Miles
tanya2;Tanya;Moreno;1949-11-05;S;F;30000,00;Partial College;Clerical;0;2;0;2;2013-09-14;5-10 Miles
javier1;Javier;Alvarez;1982-08-11;S;M;30000,00;Partial High School;Clerical;0;0;0;2;2013-03-19;5-10 Miles
nicole42;Nicole;Ramirez;1982-12-19;M;F;40000,00;High School;Skilled Manual;0;0;0;2;2013-05-16;0-1 Miles
eduardo55;Eduardo;Patterson;1983-02-11;S;M;40000,00;High School;Skilled Manual;0;0;0;2;2013-02-13;0-1 Miles
jonathan4;Jonathan;Henderson;1982-08-04;M;M;40000,00;High School;Skilled Manual;1;0;0;2;2013-06-15;5-10 Miles
edward48;Edward;Hernandez;1985-03-08;S;M;40000,00;High School;Skilled Manual;0;0;0;2;2013-01-25;0-1 Miles
jasmine46;Jasmine;Coleman;1985-06-06;S;F;40000,00;High School;Skilled Manual;0;0;0;2;2013-01-25;0-1 Miles
karla20;Karla;Goel;1945-02-22;S;F;40000,00;Bachelors;Management;1;2;0;2;2013-02-05;5-10 Miles
ernest6;Ernest;Wu;1944-08-04;M;M;60000,00;Graduate Degree;Management;1;2;0;1;2011-05-13;0-1 Miles
ross32;Ross;Vazquez;1947-02-13;M;M;40000,00;Bachelors;Management;1;2;0;2;2013-03-07;5-10 Miles
theodore14;Theodore;Gill;1946-10-18;M;M;40000,00;Bachelors;Management;1;2;0;2;2013-06-04;0-1 Miles
russell6;Russell;Shen;1946-09-12;S;M;40000,00;Bachelors;Management;1;2;0;2;2013-03-27;5-10 Miles
melinda9;Melinda;Gill;1947-08-25;S;F;60000,00;Graduate Degree;Management;0;2;0;1;2011-05-15;0-1 Miles
james77;James;Williams;1981-07-09;S;M;40000,00;High School;Skilled Manual;1;0;0;2;2013-01-09;5-10 Miles
angela34;Angela;James;1981-12-21;M;F;40000,00;High School;Skilled Manual;1;0;0;2;2013-03-29;5-10 Miles
megan25;Megan;Walker;1982-02-18;S;F;40000,00;Partial College;Skilled Manual;1;0;0;1;2013-01-10;5-10 Miles
hunter50;Hunter;Robinson;1981-07-25;S;M;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-01-06;1-2 Miles
maria47;Maria;Roberts;1981-08-06;S;F;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-01-08;1-2 Miles
hannah32;Hannah;Long;1980-12-08;M;F;40000,00;High School;Skilled Manual;1;0;0;2;2013-07-24;5-10 Miles
jason46;Jason;Wright;1981-04-06;S;M;40000,00;High School;Skilled Manual;1;0;0;2;2013-01-19;5-10 Miles
brianna57;Brianna;Hughes;1981-03-16;S;F;40000,00;High School;Skilled Manual;0;0;0;2;2013-09-08;1-2 Miles
maurice4;Maurice;Tang;1979-07-08;S;M;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-02-21;5-10 Miles
emily27;Emily;Wood;1979-10-20;S;F;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-06-01;1-2 Miles
chase10;Chase;Cox;1979-09-02;S;M;40000,00;Partial College;Skilled Manual;1;0;0;1;2013-02-18;5-10 Miles
gabriel21;Gabriel;Wang;1980-06-18;M;M;40000,00;Partial College;Skilled Manual;1;0;0;1;2013-05-01;5-10 Miles
devin63;Devin;Brooks;1979-11-02;S;M;40000,00;Partial College;Skilled Manual;0;0;0;1;2013-04-27;1-2 Miles
jocelyn18;Jocelyn;Alexander;1979-01-15;M;F;60000,00;Partial College;Skilled Manual;0;0;0;1;2013-05-25;1-2 Miles
ashley18;Ashley;Martinez;1977-10-22;S;F;70000,00;Partial College;Skilled Manual;0;0;0;2;2013-10-14;0-1 Miles
jasmine43;Jasmine;Barnes;1978-01-29;S;F;80000,00;Bachelors;Management;0;0;0;1;2013-01-07;0-1 Miles
david83;David;Rodriguez;1973-11-12;S;M;80000,00;Bachelors;Management;0;0;0;1;2013-01-15;0-1 Miles
bryce8;Bryce;Richardson;1973-12-20;M;M;90000,00;Bachelors;Management;1;4;4;1;2013-05-26;0-1 Miles
carol5;Carol;Howard;1973-08-04;M;F;90000,00;Bachelors;Management;1;4;4;1;2013-08-26;0-1 Miles
jonathan43;Jonathan;Hill;1978-10-05;S;M;100000,00;Bachelors;Management;1;1;0;2;2011-08-20;1-2 Miles
gabrielle58;Gabrielle;Adams;1973-05-20;M;F;100000,00;Bachelors;Management;1;1;0;2;2013-05-03;1-2 Miles
sarah13;Sarah;Thomas;1973-02-28;S;F;110000,00;Graduate Degree;Management;0;0;0;4;2013-03-02;0-1 Miles
nicholas19;Nicholas;Robinson;1973-01-09;M;M;110000,00;Graduate Degree;Management;1;0;1;0;2013-07-13;2-5 Miles
luis24;Luis;Wang;1968-09-01;S;M;70000,00;Partial College;Skilled Manual;1;0;0;2;2011-08-28;5-10 Miles
mason25;Mason;Roberts;1979-01-21;M;M;90000,00;Bachelors;Management;1;4;4;1;2013-02-02;1-2 Miles
jose6;Jose;Flores;1948-01-01;M;M;110000,00;Graduate Degree;Management;1;2;4;2;2013-03-29;5-10 Miles
nathan55;Nathan;Johnson;1954-08-20;M;M;100000,00;Graduate Degree;Management;1;2;3;3;2013-02-21;1-2 Miles
molly18;Molly;Rodriguez;1959-12-08;M;F;120000,00;Graduate Degree;Management;1;2;4;3;2013-03-12;5-10 Miles
april18;April;Anand;1948-07-01;M;F;160000,00;Bachelors;Management;1;1;3;4;2013-03-17;0-1 Miles
devin13;Devin;Martin;1960-02-01;M;M;170000,00;Graduate Degree;Management;1;2;3;2;2013-05-07;0-1 Miles
stephanie19;Stephanie;Torres;1950-02-22;S;F;70000,00;Bachelors;Management;1;4;0;2;2013-08-28;10+ Miles
jasmine19;Jasmine;Lee;1950-01-12;S;F;70000,00;Bachelors;Management;1;4;0;2;2013-04-30;10+ Miles
meghan3;Meghan;Hernandez;1955-11-13;S;F;70000,00;Bachelors;Management;1;4;0;2;2013-08-10;10+ Miles
ashley31;Ashley;Henderson;1950-04-07;S;F;70000,00;Bachelors;Management;1;4;0;2;2013-02-21;10+ Miles
sarah25;Sarah;Price;1949-11-18;S;F;70000,00;Bachelors;Management;1;4;0;2;2013-10-18;10+ Miles
jennifer63;Jennifer;Cooper;1949-08-21;M;F;60000,00;Graduate Degree;Management;1;4;0;2;2013-04-03;10+ Miles
catherine16;Catherine;Morris;1950-03-06;M;F;60000,00;Graduate Degree;Management;0;4;0;2;2013-11-01;1-2 Miles
lawrence14;Lawrence;Blanco;1950-01-12;S;M;60000,00;Graduate Degree;Management;1;4;0;2;2011-08-26;10+ Miles
carson17;Carson;Bryant;1949-12-20;M;M;70000,00;Bachelors;Management;1;5;0;2;2013-08-28;10+ Miles
kristi39;Kristi;Perez;1951-06-17;S;F;70000,00;Bachelors;Management;1;5;0;3;2011-08-11;10+ Miles
james79;James;Brown;1951-03-13;M;M;60000,00;Bachelors;Management;1;4;0;2;2013-06-23;2-5 Miles
ian72;Ian;Gray;1950-08-13;M;M;60000,00;Bachelors;Management;1;4;0;2;2013-02-25;2-5 Miles
jacqueline0;Jacqueline;Price;1950-12-08;M;F;60000,00;Bachelors;Management;1;4;0;2;2013-03-13;2-5 Miles
megan55;Megan;Henderson;1951-08-10;M;F;60000,00;Bachelors;Management;1;5;0;3;2013-04-14;10+ Miles
alfredo10;Alfredo;Romero;1951-12-05;M;M;60000,00;Bachelors;Management;1;5;0;3;2013-03-03;10+ Miles
andrea18;Andrea;Morris;1951-12-16;M;F;70000,00;Bachelors;Management;0;3;1;1;2013-05-02;1-2 Miles
brooke3;Brooke;Sanders;1952-05-25;S;F;70000,00;Bachelors;Management;1;4;1;1;2013-02-05;10+ Miles
jacqueline1;Jacqueline;Bennett;1957-11-02;M;F;70000,00;Bachelors;Management;1;4;1;1;2013-03-18;10+ Miles
jason18;Jason;Griffin;1953-05-21;M;M;70000,00;Bachelors;Management;1;4;1;1;2013-02-07;1-2 Miles
amanda37;Amanda;Foster;1953-02-14;M;F;70000,00;Bachelors;Management;1;4;1;1;2013-07-01;10+ Miles
alexia0;Alexia;Price;1958-08-22;M;F;80000,00;Bachelors;Management;0;5;0;2;2013-09-15;1-2 Miles
luis21;Luis;Diaz;1959-08-18;M;M;40000,00;High School;Professional;1;2;1;2;2013-02-20;10+ Miles
destiny33;Destiny;Rivera;1953-11-29;M;F;40000,00;High School;Professional;1;2;1;2;2013-08-09;2-5 Miles
abby13;Abby;Fernandez;1954-01-21;M;F;40000,00;High School;Professional;1;2;1;2;2013-07-27;10+ Miles
blake60;Blake;Flores;1954-03-24;M;M;60000,00;Partial College;Professional;1;2;1;1;2013-05-11;10+ Miles
danielle12;Danielle;Cox;1954-01-16;S;F;60000,00;Partial College;Professional;1;2;1;1;2013-01-31;10+ Miles
maria4;Maria;Reed;1953-08-03;M;F;60000,00;Bachelors;Management;1;2;1;0;2013-03-04;10+ Miles
allison21;Allison;Evans;1953-07-12;M;F;60000,00;Bachelors;Management;1;2;1;0;2013-03-25;10+ Miles
edward50;Edward;Wood;1953-12-06;M;M;70000,00;Partial College;Professional;1;4;1;2;2013-05-06;10+ Miles
samantha42;Samantha;Russell;1960-10-08;M;F;40000,00;High School;Professional;1;2;1;2;2013-02-01;2-5 Miles
chloe4;Chloe;Campbell;1955-05-05;M;F;40000,00;High School;Professional;1;2;1;2;2013-01-30;2-5 Miles
stephanie11;Stephanie;Murphy;1954-11-11;S;F;60000,00;Partial College;Professional;1;2;1;2;2013-03-28;10+ Miles
charles9;Charles;Miller;1955-05-07;S;M;60000,00;Partial College;Professional;1;2;1;2;2013-08-14;10+ Miles
ana7;Ana;Perry;1961-06-17;M;F;40000,00;Partial High School;Skilled Manual;1;2;1;2;2013-02-15;10+ Miles
jasmine32;Jasmine;Torres;1955-11-17;S;F;60000,00;Partial College;Professional;1;2;1;2;2011-08-15;10+ Miles
